delivery_time,feedback,hourlie,name_reviewer,price,sales_num,location,favorites,time,star_review,reviews_num,FLNCR_RSPN_CMMT,review,rating_perc,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Duncan B.,$123,53,"Chew Magna, United Kingdom            ",180,21 Oct 2014,5,40,,"<p>Specific, relevant and actionable advice that is improving our website performance. Would not hesitate to recommend Jo and would definitely use again.</p>",97%,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Patrick M.,$123,53,"Melbourne, Australia            ",180,17 Sep 2014,5,40,,"<p>Jo did a fantastic job. Our site wasn't the norm, so she called on a colleague to give us a more technical review of the site. <br>
I have no doubt that the very detailed and personalized advice in the report that she sent will lead to SEO enhancements and ultimately pay for itself.<br>
<br>
She was more than happy to give detailed answers to questions regarding the report, which was a nice surprise given the report would have taken the full 2 hour consultation.<br>
<br>
Will be using again - thanks!</p>",97%,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Yaseen K.,$123,53,"Manchester, United Kingdom            ",180,16 Mar 2014,3,40,,<p>not really looking for maybe i should have asked more question</p>,97%,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Steve S.,$123,53,"City of London, United Kingdom            ",180,13 Mar 2014,5,40,,"<p>Excellent, happy to recommend.</p>",97%,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Peter F.,$123,53,"Oakham, United Kingdom            ",180,14 Feb 2014,5,40,,"<p>Great service... and received a good overview of issues with our site, and plan to use again </p>",97%,
5,,"Be your SEO consultant. Back links, SEO, website review etc",Philip C.,$123,53,"Sunderland, United Kingdom            ",180,31 Jan 2014,5,40,,"<p>Jo, produced a comprehensive report pointing out some errors in our SEO. Well worth the money and delivered within the time scale promised. Thanks and sorry for the late feedback  </p>",97%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Aaron D.,$31,685,"London, United Kingdom            ",448,Yesterday,5,432,,"<p>Great work, fantastic turn around as usual.</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Salvatore S.,$31,685,"Rome, Italy            ",448,Yesterday,5,432,,"<p>I'm impressed of your work.<br>
Very detailed report with useful recommendations...A+++</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Jeremy E.,$31,685,"Wandsworth, United Kingdom            ",448,01 Sep 2015,5,432,,<p>Super fast and super detailed.  Extremely happy with his work.</p>,96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",R F.,$31,685,"City of London, United Kingdom            ",448,26 Aug 2015,5,432,,"<p>Great work.<br>
<br>
Thanks</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Richard L.,$31,685,"City of London, United Kingdom            ",448,25 Aug 2015,5,432,,"<p>Amazing is an overused term, but that is the best description of this service. Bang on time, extremely high quality analysis and reporting. Value for money is astonishing. </p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Ian J.,$31,685,"London, United Kingdom            ",448,24 Aug 2015,5,432,,<p>Fantastic and thorough report as always.</p>,96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Mike G.,$31,685,"Borehamwood, United Kingdom            ",448,05 Aug 2015,5,432,,"<p>Good work! Lots of useful information. Some generic reports, but great value for money.</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Chris A.,$31,685,"Truro, United Kingdom            ",448,04 Aug 2015,5,432,,"<p>Great work, excellent information provided, would use again :-)</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Yix C.,$31,685,"Worcester, United Kingdom            ",448,31 Jul 2015,5,432,,"<p>Outstanding information received, we can now use this going forward. Highly recommended.</p>",96%,
2,,"Provide an SEO audit, keyword & competitor analysis, plan of action & Skype help",Yix C.,$31,685,"Worcester, United Kingdom            ",448,17 Jul 2015,5,432,,"<p>Amazing comprehensive report received from Jon which contained absolutely everything that we needed. Will definitely work with Jon again,</p>",96%,
3,,Most Detailed Keyword Research for SEO or PPC,Elliot B.,$31,138,"Hollywood, United States            ",116,Mon 9:15am,5,86,,"<p>Excellent work, very professional. Came up with excellent keywords and competitors in a challenging niche to research.</p>",98%,
3,,Most Detailed Keyword Research for SEO or PPC,Mark M.,$31,138,"Newry, United Kingdom            ",116,26 Aug 2015,5,86,,<p>Excellent job done. Will definitely use Stephen again. </p>,98%,
3,,Most Detailed Keyword Research for SEO or PPC,Ben K.,$31,138,"City of London, United Kingdom            ",116,24 Aug 2015,5,86,,<p>Excellent! Very detailed and just what we were looking for - highly recommend.</p>,98%,
3,,Most Detailed Keyword Research for SEO or PPC,James M.,$31,138,"Luton, United Kingdom            ",116,25 Jul 2015,5,86,,<p>Excellent job and happy with the work! Kept me informed and up to date throughout and was generally very helpful! </p>,98%,
3,,Most Detailed Keyword Research for SEO or PPC,Marcus S.,$31,138,"Tustin, United States            ",116,23 Jul 2015,2,86,,"<p>Although very friendly, Steven was not able to deliver what I was looking for. He provided me with a long list of keywords that were largely irrelevant - some of them were even just random movie titles. Other keywords were unrelated services that I told him we were not involved with. In the end, I had to discard his list altogether and create my own from scratch. It was very disappointing. All the same I could not recommend him to anyone based on my experience. Apologies Steven, you seem like a good guy, but I cannot give you a positive review.</p>",98%,
3,,Most Detailed Keyword Research for SEO or PPC,David L.,$31,138,"Lincoln, United Kingdom            ",116,23 Jul 2015,5,86,,<p>Great work thank you.</p>,98%,
3,,Most Detailed Keyword Research for SEO or PPC,Chris H.,$31,138,"Madrid, Spain            ",116,07 Jul 2015,5,86,,"<p>Good stuff, thanks! </p>",98%,
3,,Most Detailed Keyword Research for SEO or PPC,Darika A.,$31,138,"London, United Kingdom            ",116,06 Jul 2015,5,86,,<p>As always!</p>,98%,
3,,Most Detailed Keyword Research for SEO or PPC,Sean C.,$31,138,"Wandsworth, United Kingdom            ",116,29 Jun 2015,5,86,,"<p>Fantastic detailed report, exactly what I was after</p>",98%,
3,,Most Detailed Keyword Research for SEO or PPC,Silvia B.,$31,138,"Florence, Italy            ",116,29 Jun 2015,5,86,,"<p>great job in a very short term, thank you!</p>",98%,
2,,Analyse and provide report for any market,Jacqui W.,$28,2,"Bath, United Kingdom            ",13,08 Jun 2013,3,2,,<p>Bicky did a good job - I just wasn't clear about what I wanted!!! He was a very good communicator. </p>,80%,
2,,Analyse and provide report for any market,Hk9861 ..,$28,2,"Hong Kong, Hong Kong            ",13,01 Apr 2013,5,2,,<p>Bicky has an excellent attitude towards his work. His efforts are much appreciated. </p>,80%,
2,,Provide a comprehensive SEO analysis,Jenna H.,$77,4,"Athens, United States            ",13,02 Apr 2015,5,2,,<p>Quick turnaround! Did exactly what i needed. </p>,100%,
2,,Provide a comprehensive SEO analysis,Brian B.,$77,4,"Southampton, United Kingdom            ",13,05 May 2013,5,2,,<p>Robert worked above and beyond his hourlie offering and I will certainly be putting any future SEO work his way. Thanks for your hard work.</p>,100%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Paul M.,$62,55,"City of London, United Kingdom            ",59,15 Aug 2015,5,26,,"<p>Thank you so much Franklin for your hard work and also for breaking everything down for me in the document. Will use you again soon! <br>
Regards<br>
Paul</p>",89%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Evgenii N.,$62,55,"Liverpool, United Kingdom            ",59,07 Jul 2015,5,26,,<p>SEO service is reliable and effective and I strongly recommend Frank's services.</p>,89%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Johannes H.,$62,55,"Michaelerberg, Austria            ",59,20 May 2015,5,26,,<p>Excellent job as usual</p>,89%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Johannes H.,$62,55,"Michaelerberg, Austria            ",59,27 Mar 2015,5,26,,<p>Reliable and quick work</p>,89%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Ki P.,$62,55,"London, United Kingdom            ",59,15 Aug 2014,5,26,,<p>Great to work with would reccomend</p>,89%,
7,,Do 100 to 500+ easy to rank Keywords Research for SEO Linkbuilding,Ivan C.,$62,55,"Kuala Lumpur, Malaysia            ",59,15 Aug 2014,5,26,,<p>Good job! Very informative and completed job on time! two thumbs up!</p>,89%,
